Name #cities Type Bounds 
a280 280 EUC2D 2579 
ali535 535 GEO 202310 
att48 48 ATT 10628 
att532 532 ATT 27686 
bayg29 29 GEO 1610 
bays29 29 GEO 2020 
berlin52 52 EUC2D 7542 
bier127 127 EUC2D 118282 
brazi158 58 MATRIX 25395 
brd14051 14051 EUC2D [468942,469445] 
brg180 180 MATRIX 1950 
burma14 14 GEO 3323 
ch130 130 EUC2D 6110 
ch150 150 EUC2D 6528 
d198 198 EUC2D 15780 
d493 493 EUC2D 35002 
d657 657 EUC2D 48912 
d1291 1291 EUC2D 50801 
d1655 1655 EUC2D 62128 
d2103 2103 EUC2D [79952,80450] 
d15112 15112 EUC2D [1564590,1573152] 
d18512 18512 EUC2D [644650,645488] 
dantzig42 42 MATRIX 699 
dsj1000 1000 CEILLZD 18659688 
eil51 51 EUC2D 426 
eil76 76 EUC2D 538 
eil101 101 EUC2D 629
fl417 417 EUC2D 11861 
fl1400 1400 EUC2D 20127 
fl1577 1577 EUC2D [22204,22249] 
fl3795 3795 EUC2D [28723,28772] 
fnl4461 4461 EUC2D 182566 
fri26 26 MATRIX 937 
gil262 262 EUC2D 2378 
gr17 17 MATRIX 2085 
gr21 21 MATRIX 2707 
gr24 24 MATRIX 1272 
gr48 48 MATRIX 5046 
gr96 96 GEO 55209 
gr120 120 MATRIX 6942 
gr137 137 GEO 69853 
gr202 202 GEO 40160 
gr229 229 GEO 134602 
gr431 431 GEO 171414 
gr666 666 GEO 294358 
hk48 48 MATRIX 11461 
kroA100 100 EUC2D 21282 
kroB100 100 EUC2D 22141 
kroC100 100 EUC2D 20749 
kroD100 100 EUC2D 21294 
kroE100 100 EUC2D 22068 
kroA150 150 EUC2D 26524 
kroB150 150 EUC2D 26130 
kroA200 200 EUC2D 29368 
kroB200 200 EUC2D 29437 
lin105 105 EUC2D 14379 
lin318 318 EUC2D 42029 
linhp318 318 EUC2D 41345 
nrw1379 1379 EUC2D 56638 
p654 654 EUC2D 34643 
pa561 561 MATRIX 2763 
pcb442 442 EUC2D 50778 
pcb1173 1173 EUC2D 56892 
pcb3038 3038 EUC2D 137694 
p1a7397 7397 CEIL2D 23260728 
p1a33810 33810 CEIL2D [65913275,66116530] 
p1a85900 85900 CEIL2D [141904862,142487006] 
pr76 76 EUC_2D 108159 
pr107 107 EUC_2D 44303 
pr124 124 EUC_2D 59030 
pr136 136 EUC_2D 96772 
pr144 144 EUC_2D 58537 
pr152 152 EUC_2D 73682 
pr226 226 EUC_2D 80369 
pr264 264 EUC_2D 49135 
pr299 299 EUC_2D 48191 
pr439 439 EUC_2D 107217 
pr1002 1002 EUC_2D 259045 
pr2392 2392 EUC_2D 378032 
rat99 99 EUC_2D 1211 
rat195 195 EUC_2D 2323 
rat575 575 EUC_2D 6773 
rat783 783 EUC_2D 8806 
rd100 100 EUC_2D 7910 
rd400 400 EUC_2D 15281 
rl1304 1304 EUC_2D 252948 
rl1323 1323 EUC_2D 270199 
rl1889 1889 EUC_2D 316536 
rl5915 5915 EUC_2D [565040,565530] 
rl5934 5934 EUC_2D [554070,556045] 
rl11849 11849 EUC_2D [920847,923368] 
si175 175 MATRIX 21407 
si535 535 MATRIX 48450 
si1032 1032 MATRIX 92650 
st70 70 EUC_2D 675 
swiss42 42 MATRIX 1273 
ts225 225 EUC_2D 126643 
tsp225 225 EUC_2D 3919 
u159 159 EUC_2D 42080 
u574 574 EUC_2D 36905 
u724 724 EUC_2D 41910 
u1060 1060 EUC_2D 224094 
u1432 1432 EUC_2D 152970 
u1817 1817 EUC_2D 57201 
u2152 2152 EUC2D 64253 
u2319 2319 EUC_2D 234256 
ulysses16 16 GEO 6859 
ulysses22 22 GEO 7013 
usa13509 13509 EUC_2D [19947008,19982889] 
vm1084 1084 EUC_2D 239297 
vm1748 1748 EUC_2D 336556 
